"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","451","Проверка наличия ID в ответе при авторизации","tests","2025-10-16","passed","2025-10-16","TestCourierLogin","test_courier_login","",""
"","6825","Получение списка заказов","tests","2025-10-16","passed","2025-10-16","TestOrderList","test_order_list","",""
"","452","Авторизация несуществующего курьера","tests","2025-10-16","passed","2025-10-16","TestCourierLogin","test_courier_login","",""
"","415","Успешная авторизация курьера","tests","2025-10-16","passed","2025-10-16","TestCourierLogin","test_courier_login","",""
"","509","Создание дубликата курьера","tests","2025-10-16","passed","2025-10-16","TestCourierCreate","test_courier_create","",""
"","0","Проверка кода ответа при создании курьера","tests","2025-10-16","passed","2025-10-16","TestCourierCreate","test_courier_create","",""
"","830","Создание заказа с разными цветами: без цвета","tests","2025-10-16","passed","2025-10-16","TestOrderCreate","test_order_create","",""
"","431","Создание курьера с дублирующимся логином","tests","2025-10-16","passed","2025-10-16","TestCourierCreate","test_courier_create","",""
"","833","Создание заказа с разными цветами: один цвет BLACK","tests","2025-10-16","passed","2025-10-16","TestOrderCreate","test_order_create","",""
"","396","Авторизация без обязательного поля: login","tests","2025-10-16","passed","2025-10-16","TestCourierLogin","test_courier_login","",""
"","800","Проверка наличия track в ответе при создании заказа","tests","2025-10-16","passed","2025-10-16","TestOrderCreate","test_order_create","",""
"","857","Создание заказа с разными цветами: один цвет GREY","tests","2025-10-16","passed","2025-10-16","TestOrderCreate","test_order_create","",""
"","0","Успешное создание курьера","tests","2025-10-16","passed","2025-10-16","TestCourierCreate","test_courier_create","",""
"","816","Создание заказа с разными цветами: оба цвета","tests","2025-10-16","passed","2025-10-16","TestOrderCreate","test_order_create","",""
"","416","Создание курьера без обязательного поля: password","tests","2025-10-16","passed","2025-10-16","TestCourierCreate","test_courier_create","",""
"","60407","Авторизация без пароля","tests","2025-10-16","passed","2025-10-16","TestCourierLogin","test_courier_login","",""
"","1307","Проверка успешного ответа при создании курьера","tests","2025-10-16","passed","2025-10-16","TestCourierCreate","test_courier_create","",""
"","406","Создание курьера без обязательного поля: login","tests","2025-10-16","passed","2025-10-16","TestCourierCreate","test_courier_create","",""
"","779","test_create_courier_missing_field_error","tests","2025-10-15","passed","2025-10-15","TestCourierCreate","test_courier_create","",""
"","2019","Авторизация с неверными учетными данными","tests","2025-10-16","passed","2025-10-16","TestCourierLogin","test_courier_login","",""
"","60398","Авторизация без обязательного поля: password","tests","2025-10-16","passed","2025-10-16","TestCourierLogin","test_courier_login","",""
